Original_Comment,Predicted_Sentiment
jab se bjp government bana indian team icc tournament nahi jeetujab se opposition party aayi india jeeta jai opposition party,neutral
king kohli speaks and i can listen him for whole day,positive
grt pm with grt team,neutral
bgoat pm with world championsb,neutral
rohit the leader mumbai cha raja rohit sharma,neutral
love modiji love team bharat,positive
rokomo,neutral
salute modi ji and indian cricket team,positive
puri indian team ne mehnat karimodi ji free mai publicity le rahe hai,neutral
kon kon hindu hai bhai,neutral
amazed at how pm connected with all players,neutral
copyright,neutral
kaas yahan par ishan kaisa bhi hote,neutral
rahul gandi ni pant ki maa ko phone kiya tha ya nahi jara puchho kohi,neutral
y my pm is looks like going to retire very soon,negative
nadiyad nu chavanu,neutral
respect kari h modi ji ne nahi to we the jo khiladiyo ko peeche khda karke photo click karate the,neutral
modi the great leader,positive
great podcast modi ji,positive
hindi main ye baat cheet sunkar itna sukoon mil raha hai,neutral
adbhut conversation,neutral
best prime minister of india,positive
our pm king our cricketers kings,positive
there is no doubt that bharat is the mother of legends there are innumerable coming jai hind,positive
sanju samson our siraj kaha gaye modi ji ke sath photo nai khichaye,neutral
amazing conversation and thanks to pm modi for this wonderful talk and thanks to each one of the indian team for this stupendous victory and bringing smiles to billion indias,positive
kohli bhut mature bn gye h,neutral
real content creator,neutral
neet exam pe dyab do modi ji farji doctor ban rahe hai education pe b dyab de,neutral
pm anchor,neutral
modi sir team india,positive
kisi desh ka pm apne players ke sath is tarh se bate kare kuchh to khash hai modi ji mein,neutral
aur bada interview chaiye tha kb khatam ho gaya pata hi nahi chala,neutral
modi ji great,positive
manipur jao mota bhai,neutral
confidence are not seen on anyone face to speak everyone think what we speak or not fear are seen on both face prime minister or all players,neutral
sir you are great pm,positive
modi hataw aur desh bacahaw,neutral
thanks modi ji jay shri ram bhrat mata ki jay,positive
notice quot quot,neutral
love you sir ji,positive
great pm with all loving player,positive
rohit bhaiya wo wo wo yha bhi,neutral
thank you prime minister sir and team india,positive
thats modi jijai bharat,neutral
why no one talks or cares about shivam dubeno where i could see him during the celebrations be it in stadium or victory paradeonly a few times he was showni feel bad for himmodi ji also didnt say anything,negative
woooow,positive
our amazing pm love you,positive
l l l,neutral
panauti ko trophy se dur rakho,neutral
kabhi football team se v milo olympics gold medalist se v milo,neutral
very good ram ram sir ji,positive
nice vedio,positive
our pm our players,neutral
i proud to be indian,positive
ram ram sir ji,positive
jai modi,positive
pm ho to aise orr cricket team ho to aise,neutral
everytime rohit saying hum sab ne pure team ne hamari sab ladko nehamari mehenat hum sab ki mehenatwoww he is giving credit to everyonesuch a good personnever saidimemain,positive
bjai hind what great moment to our new india cricket team to our world leader honrable pm modi sirb jai shree ram,positive
dil jit liya modi ji ne,neutral
kya yhi video aap students yah youth generation army person who sacrifice his life ek student ka room ka room ke rent ke liye socha yah aapne students ke liye kuch kiya,negative
mirzapur se pehle ye dekh raha hu or kya chahiye bhai,neutral
the best rahul i have ever seen pm modi ji pls pinned this,positive
how you cannot vote pm like this indian people is very literate and illiterate as same time,negative
i proud to say we have prime minister like narender modi,positive
pm ji ko ek mouka mila publik se rubru hone k,neutral
iske liye tujhe vote nehi denge,neutral
i feel blessed that you are my prime minister thank you modijijust one wish i could meet and take your blessing,positive
modi ji dil jeet liya,neutral
love you mahi bhai,positive
cahal is a back bncher,neutral
bumrah be like pata nhi aisi cetuation me mai aage kaise aa jata hu,neutral
still people curse him i believe he is the best pm till date,positive
never expect this podcast will be publicly,negative
we got modi ji vlog before gta vi,neutral
salute you men in blue jay modi ji,positive
sur please ap dictator ban jao,neutral
congratulations to all of you indian cricket team for this,positive
modi ji pminfluencer,neutral
mahi ka quotyou knowquot bhi copy kr liya hai hardik but mahi bus mahi hai,neutral
i only watch for our champion,positive
i love indian har har modi je jai shree ram,positive
nice conversation with pm,positive
really overwhelmed to see pm has respect for athletes,negative
chamche nzr nhi aa rahe,neutral
such a motivational video for everyone love from pakistan,positive
thank you pm modi,positive
baat to aise kar rahe hai jaise koi world cup jeete ho,neutral
jay ho jay hind,neutral
king kohli respect bottom,positive
sanju samson and dubey ji kahin najar nahi aate hain aisa kyu,neutral
pm common man,neutral
prime minister sab kay hosly ny team ko aik dafa dobara world cup jeeta diya players kay under confidence peda hoa australia sy harny kay bad,negative
ye hai real leader haar me bhi saath tha jeet me bhi sath hai,neutral
i am very happy india won the world cup,positive
indian teem or indian prime minister proud of indians,positive
what a proud moment for all the players,positive
great interview with pm sir,positive
proud of our country salute all indian cricketerreally love you all india cricketer,positive
best one is modi said kuldeep tumhari himmat kaise hui captain ko nachane ki,positive
modi ji ignored shivam dube as i ignore my relatives,negative
hindu bolte rahul sir kitna sweet sound kr rahe hain,neutral
pm se aise baat kar rahe hai jaise world cup jita ho,neutral
rishabh bhai ki case band karne ka call aya tha shayad,neutral
great pm meet with great team,positive
kailash parvat bharat kab aayega bhagwan shiv ka mul niwas wahin hai,neutral
nice interview modi ji,positive
aise aadmi ko kaise dictator bol skte hai,neutral
amazing session thank you modiji loved the way how rahul dravid spoke,positive
worlds best prime minister and world best team jai hind jai bharat,positive
haar ke waqt bhi saath the aaj jeet ke waqt bhi saath hai modi ji,neutral
thanks for sharing this wining moments indian team congratulations for huge contribution we thanks pm sir love you all,positive
modi ke virodhi ish mainb galti durnd raha hoga,neutral
rohit be like kya bakchodi chal rhi bhd khatm karo,neutral
lavde na bhojyam,neutral
i love my country bharat well played by india and i am proud to be our prime minister modi ji jai hind,positive
trending me ana chahiye,neutral
modi sir virat thode bahut follower dete jao,neutral
virat is a class act hats off to pant and thanks to modi for genuine interaction,positive
my team india ke liye badhai ho ok rohit ji,neutral
bahut accha laga modi ji aap team ko itna front matav dete hai salute apko aur team india ko love u shero,positive
jai shah,positive
ye hota desh ke liye khelne walo ko spot krna desh ke pm ka sabko pyar se milna baat krna bahut kuch kehta he khel khiladi sabko aagey le jayega,neutral
rosuperhit sharma,neutral
congratulations bharath cricket team leaders,positive
modiji anti hindu prof bhagvan puts fir on me please help me honorable pm,negative
that chahal ka idea tha ka was epic,positive
druv rathi new video out,neutral
thanks respected prime minister honouring our players salute sir,positive
jai hindjai bharat,neutral
sir sir,neutral
modi ji ab football mei bhi dhan de do,neutral
when pakistani listen rohits team hard work support nd all they surely think where they liesthey are nothing infront of ours boyzour cricket not only inspires our upcoming boyz but all other teamwe are not won by luck we won by our hard work nd dedication with heart proud to have such a team nd to be indian bharat,positive
congratulations bharat and team india jai ho,positive
according to liberals indian cricketers are bhakts now,neutral
jay siya ram,neutral
i had a big smile on my face while watching this,positive
the og player and og pm what a feeling jai hind,positive
thankyou honourable pm sir and team india such a lovely moments,positive
chahal harayna k ladka,neutral
chahal ki harkate pm ko v pta hai,neutral
hum khushnasib hai ki aap jaise pm milebahut proud feel karta hu indian hone pe garv hai hume sabhi khiladionpe,neutral
thanks modi sir,positive
thank you pm modi ji you help so much in our countrys development thank you,positive
it feels good to see countrys pm is interacting like this to our players,positive
ye hota hai leader,neutral
wow just wow,positive
chahal kyo serious hai,neutral
what an honor by pm modi just imotional,positive
gujarat k ksi,neutral
youtube,neutral
desh bhakat modiji i love you,positive
best gesture from our pm,positive
modi sir aap grate hoo,neutral
hardik pandaya respect button,neutral
blessed to have a pm like you modi ji,positive
i feel very proud of my countrys pm modi ji,positive
let it be mr pm ye baat ab purani ho chuki h aap ab ess pr dhyan do ki bache aapke padh kya rhe h aur kaise rhe h unke liye bhi ab sach mei kuch central level pr bda kro appki nep to aate aate desh k pdhne wale sab sooli chd chuke honge nhi to fir apne naam k stadium mei baith k apni sarkari upadi ki thali bajana aur ram mandir ram mandir krte rhna ab esse aage bdo aur moolbhoot awshyakta pr aao nhi to koi yuva rhega hee nhi,neutral
